Kalahandi,Bhawanipatna,District Headquarters Hospital,https://goo.gl/maps/MYQtbgtEhvZJJ4FQ7,06670-230140
Kalahandi,Dharmagarh,CHC Dharmagarh,https://goo.gl/maps/T63s9S5c55MwdGL38,06674-255225
Kalahandi,Junagarh,CHC Junagarh,https://goo.gl/maps/9MYNVp6hnjsnEGnt8,06671-240344
District,City/Town,Hospital Name,Google Map Link,Phone Number(s)
Kandhamal,Phulbani,District Headquarters Hospital,https://goo.gl/maps/hKMeDLY9mjUMHYvq7,06842-253223
Kandhamal,Baliguda,CHC Baliguda,https://goo.gl/maps/sT97QH2w3a22,06845-250221
Kandhamal,Daringbadi,CHC Daringbadi,https://goo.gl/maps/xH8XvoozX1xdEp5u6,06848-246333
Kendrapara,Kendrapara,District Headquarters Hospital,https://goo.gl/maps/kXVo5nESDPcsbdu28,06727-232031
Kendrapara,Patkura,CHC Patkura,https://goo.gl/maps/fT8gBDSVmFZ9QyFb7,06727-243239
Kendrapara,Derabish,CHC Derabish,https://goo.gl/maps/uvvgBo1BrXmABKvM7,06727-243158
Keonjhar,Keonjhar,District Headquarters Hospital,https://goo.gl/maps/sPLk2oK1ByNCPwCYA,06766-255376
Keonjhar,Champua,CHC Champua,https://goo.gl/maps/fMPmF9J29prqT5c89,06767-250441
Keonjhar,Anandapur,CHC Anandapur,https://goo.gl/maps/szEFmnsJWDK53LRR8,06768-222001
Khordha,Bhubaneswar,Capital Hospital Bhubaneswar,https://goo.gl/maps/XQUyBoNsbiH2,0674-2391983
Khordha,Jatni,CHC Jatni,https://goo.gl/maps/Nv6R4USbdvPxjNqN9,0674-2491284
Khordha,Balugaon,CHC Balugaon,https://goo.gl/maps/5AJyZKvzrZq,06756-263245
Koraput,Jeypore,Sub Divisional Hospital Jeypore,https://goo.gl/maps/kzFCHADZ4DN2,06854-232344
Koraput,Koraput,District Headquarters Hospital,https://goo.gl/maps/Xq7LtwAqJdv,06852-250290
Koraput,Sunabeda,CHC Sunabeda,https://goo.gl/maps/PgQac67QkGkDJpDPA,06852-247196
Malkangiri,Malkangiri,District Headquarters Hospital,https://goo.gl/maps/Erw2bAf3Rxr3ZBBa8,06861-231655
Malkangiri,Chitrakonda,CHC Chitrakonda,https://goo.gl/maps/ZepF5QfsUtn9jBuP9,06861-276455
Malkangiri,Kalimela,CHC Kalimela,https://goo.gl/maps/MeZGci6z47Dr6Hym9,06861-275044
Mayurbhanj,Baripada,Pandit Raghunath Murmu Medical College & Hospital,https://maps.app.goo.gl/2LV2MoxMoFkGpTxL9,06792-240208
Nabarangpur,Nabarangpur,District Headquarters Hospital,https://maps.app.goo.gl/qUZMaqwbXvCLYcUy7,–
Nayagarh,Nayagarh,District Headquarters Hospital,https://maps.app.goo.gl/fK4x7pMnAkEnbAHG8,06753-252278
Nuapada,Nuapada,District Headquarters Hospital,https://maps.app.goo.gl/7x7KM4NNFdnF7BTS7,06678-223356
Puri,Puri,Sri Jagannath Medical College & Hospital,https://maps.app.goo.gl/6TDaBEVKZX3aBGtKA,06752-223742
Puri,Puri,District Headquarters Hospital,https://maps.app.goo.gl/H9pqC2f7S51Nd7py9,06752-252112
Rayagada,Rayagada,District Headquarters Hospital,https://maps.app.goo.gl/nfNgR9bgfvZ5y2Km6,06856-222273
Sambalpur,Sambalpur,Veer Surendra Sai Institute of Medical Sciences & Research (VIMSAR),https://maps.app.goo.gl/UVw8gHJ6xHFFh7Nj6,0663-2430768
Sambalpur,Burla,District Headquarters Hospital,https://maps.app.goo.gl/MNYY7doBw3Nj4EnbA,0663-2431184
Sonepur,Sonepur,District Headquarters Hospital,https://maps.app.goo.gl/Yq6okJTLkZZuBJ4G8,06654-220402
Sundargarh,Sundargarh,Government Medical College & Hospital,https://maps.app.goo.gl/BTHgT3s8Buq2DnYw8,06622-272524
Subarnapur,Birmaharajpur,CHC Birmaharajpur,https://maps.app.goo.gl/ffbnLoFbMj4g7jqQA,06654-252045
Subarnapur,Sonepur,Sonepur District Hospital,https://maps.app.goo.gl/VtYr8ZKNdQdcEpsu7,06654-220402
Kendrapara,Kendrapara,District Headquarters Hospital,https://maps.app.goo.gl/So7gNmXpZrXFK7Cz6,06727-232222
Kendrapara,Rajkanika,CHC Rajkanika,https://maps.app.goo.gl/P9u4K5m5rj3t6neZ9,06729-255026
Kendrapara,Patamundai,CHC Patamundai,https://maps.app.goo.gl/c5vMcof9KrQQ9dTaA,06727-276028
Rayagada,Rayagada,District Headquarters Hospital,https://goo.gl/maps/UQ7RkQzNoLGx32Bb7,06856-235603
Rayagada,Rayagada,Christian Hospital, Bisamcuttack,https://goo.gl/maps/X (State Highway 5)…,06863-247505
Rayagada,Gunupur,Sub Divisional Hospital Gunupur,https://goo.gl/maps/…(Gunupur SDH)…—
Rayagada,Bisamacuttack,CHC Bisamacuttack (SC‑Thupadi),https://goo.gl/maps/… (near Sahada)…,9439983557
Rayagada,Ramanaguda,CHC Tikarpada (SC‑Tikarpada),https://goo.gl/maps/… (Tikarpada)…,9439984540
Rayagada,Kashipur,CHC Tikiri (SC‑Tikiri),https://goo.gl/maps/… (in PHC campus)…,9439983684
Rayagada,Chandrapur,CHC Tinapadar (SC‑Tinapadar),https://goo.gl/maps/… (Tinapadar)…,–
Rayagada,Gunupur,CHC Titimiri (SC‑Titimiri),https://goo.gl/maps/… (Gunupur)…,9439983640
Rayagada,Ramanaguda,CHC Ukumba (SC‑Ukumba),https://goo.gl/maps/… (Ukumba)…,9439984885
Rayagada,Siguri,SC‑Siguri PHC‑level centre,https://goo.gl/maps/… (Siguru)…,9439984913
Rayagada,Kalyansinghpur,SC‑Sikarpai,https://goo.gl/maps/… (Kalyansingpur)…,9439983721
Rayagada,Rayagada,SC‑Siltiguda,https://goo.gl/maps/… (Siltiguda)…,9439984931
Rayagada,Muniguda,SC‑Singari,https://goo.gl/maps/… (Singari)…,9439984804
Rayagada,Rayagada,SC‑Singiput,https://goo.gl/maps/… (Singiput)…,9439984904
Rayagada,Gudari,SC‑Siriguda,https://goo.gl/maps/… (Siriguda Panchayat)…,8763079709
Rayagada,Gunupur,SC‑Sirijholi,https://goo.gl/maps/… (Near HS Gunupur)…,9437777238
Rayagada,Kashipur,SC‑Siripai,https://goo.gl/maps/… (Near Gayatri Temple)…,9439983677
Rayagada,Chandrapur,SC‑Srikhama,https://goo.gl/maps/… (Near Sarikma PS)…,–
Rayagada,Muniguda,SC‑Station Kumudabali,https://goo.gl/maps/… (St‑Kumudabali)…,9439984814
Rayagada,Ramanaguda,SC‑Sundhi Dhamuni,https://goo.gl/maps/… (Sundhi Dhamuni)…,9439984875
Rayagada,Kashipur,SC‑Sundhusali,https://goo.gl/maps/… (Awc Kashipur)…,8018065398
Rayagada,Kashipur,SC‑Sunger,https://goo.gl/maps/… (PHC campus Sunger)…,9439983668
Rayagada,Kashipur,SC‑Sunger Khadak,https://goo.gl/maps/… (near PS Sunger Khadak)…,9439983666
Rayagada,Kolanora,SC‑Suri,https://goo.gl/maps/… (Village Suri)…,9439983748
Rayagada,Kashipur,SC‑Surugunja,https://goo.gl/maps/… (Near PS Kashipur Surugunja)…,9439983691
Rayagada,Rayagada,SC‑Tadama,https://goo.gl/maps/… (Village Tadama)…,9438781328
Rayagada,Gunupur,SC‑Talana,https://goo.gl/maps/… (Near AWC Gunupur)…,6857212194
Rayagada,Muniguda,SC‑Telengapadar,https://goo.gl/maps/… (Telengapadar)…,9439984808
Rayagada,Kolanora,SC‑Therubali,https://goo.gl/maps/… (Village Therubali Kolanora)…,9439984754
